Employee_ID,First Name,Last Name,Specialization,Availability Time,Availability Time
281656475,Emma,SMITH,Cardio,"Wednesday, March 14, 2018",4:00 PM
281796108,Olivia,JOHNSON,Cardio,"Thursday, March 15, 2018",2:10 PM
281940292,Noah,WILLIAMS,Cardio,"Thursday, March 15, 2018",10:00 AM
282614216,Liam,BROWN,Cardio,"Thursday, March 15, 2018",6:00 PM
282935706,Sophia,JONES,Cardio,"Thursday, March 15, 2018",12:00 PM
283619399,Mason,MILLER,Cardio,"Thursday, March 15, 2018",12:50 PM
283646709,Ava,DAVIS,Cardio,"Thursday, March 15, 2018",3:20 PM
284035177,Jacob,GARCIA,Cardio,"Thursday, March 15, 2018",1:10 PM
284666222,William,RODRIGUEZ,Cardio,"Friday, March 16, 2018",10:00 AM
284736660,Isabella,WILSON,Cardio,"Friday, March 16, 2018",11:00 AM
284791396,Ethan,MARTINEZ,Cardio,"Friday, March 16, 2018",12:00 PM
284815117,Mia,ANDERSON,Cardio,"Friday, March 16, 2018",1:00 PM
284815942,James,TAYLOR,Cardio,"Friday, March 16, 2018",5:40 PM
284847138,Alexander,THOMAS,Cardio,"Friday, March 16, 2018",4:30 PM
284862767,Michael,HERNANDEZ,Cardio,"Tuesday, March 20, 2018",11:30 AM
284876795,Benjamin,MOORE,Cardio,"Tuesday, March 20, 2018",2:30 PM
284882215,Elijah,MARTIN,Cardio,"Tuesday, March 20, 2018",10:30 AM
284910350,Daniel,JACKSON,Cardio,"Tuesday, March 20, 2018",4:50 PM
284993459,Aiden,THOMPSON,Cardio,"Tuesday, March 20, 2018",9:30 AM
285005463,Logan,WHITE,Cardio,"Wednesday, March 21, 2018",11:00 AM
285946052,Matthew,LOPEZ,Cardio,"Wednesday, March 21, 2018",3:20 PM
285994151,Abigail,LEE,Cardio,"Wednesday, March 21, 2018",10:00 AM
286058814,Lucas,GONZALEZ,Cardio,"Wednesday, March 21, 2018",4:30 PM
286070473,Jackson,HARRIS,Cardio,"Wednesday, March 21, 2018",12:50 PM
286799607,Emily,CLARK,Cardio,"Wednesday, March 21, 2018",9:00 AM
286906691,David,LEWIS,Cardio,"Thursday, March 22, 2018",5:30 PM
286911400,Oliver,ROBINSON,Cardio,"Thursday, March 22, 2018",1:10 PM
288113403,Jayden,WALKER,Cardio,"Thursday, March 22, 2018",11:00 AM
288120394,Joseph,PEREZ,Cardio,"Thursday, March 22, 2018",2:20 PM
288419283,Charlotte,HALL,Cardio,"Thursday, March 22, 2018",12:00 PM
288429040,Gabriel,YOUNG,Cardio,"Friday, March 23, 2018",5:20 PM
289084315,Samuel,ALLEN,Cardio,"Friday, March 23, 2018",10:40 AM
289446241,Carter,SANCHEZ,Cardio,"Friday, March 23, 2018",2:00 PM
289523017,Anthony,WRIGHT,Cardio,"Friday, March 23, 2018",3:10 PM
289894882,John,KING,Cardio,"Friday, March 23, 2018",4:10 PM
290638154,Harper,SCOTT,Cardio,"Friday, March 23, 2018",1:10 PM
290807369,Dylan,GREEN,Cardio,"Friday, March 23, 2018",11:00 AM
290986013,Luke,BAKER,Cardio,"Saturday, March 24, 2018",11:00 AM
