Role_ID,Role_Type
750-67-8428,Nurse
226-31-3081,Nurse
631-41-3108,Nurse
123-19-1176,Nurse
373-73-7910,Nurse
699-14-3026,Nurse
355-53-5943,Nurse
315-22-5665,Nurse
665-32-9167,Nurse
692-92-5582,Nurse
351-62-0822,Nurse
529-56-3974,Nurse
365-64-0515,Nurse
252-56-2699,Nurse
829-34-3910,Nurse
299-46-1805,Nurse
656-95-9349,Nurse
765-26-6951,Nurse
329-62-1586,Nurse
319-50-3348,Nurse
300-71-4605,Nurse
371-85-5789,Nurse
273-16-6619,Nurse
636-48-8204,Nurse
549-59-1358,Nurse
227-03-5010,Nurse
649-29-6775,Nurse
189-17-4241,Nurse
145-94-9061,Nurse
848-62-7243,Nurse
871-79-8483,Nurse
149-71-6266,Nurse
640-49-2076,Nurse
595-11-5460,Nurse
183-56-6882,Nurse
232-16-2483,Nurse
129-29-8530,Nurse
272-65-1806,Nurse
333-73-7901,Nurse
777-82-7220,Nurse
280-35-5823,Nurse
554-53-8700,Nurse
354-25-5821,Nurse
228-96-1411,Nurse
617-15-4209,Nurse
132-32-9879,Nurse
370-41-7321,Nurse
727-46-3608,Nurse
669-54-1719,Nurse
574-22-5561,Nurse
326-78-5178,Nurse
162-48-8011,Nurse
616-24-2851,Nurse
778-71-5554,Nurse
242-55-6721,Nurse
399-46-5918,Nurse
106-35-6779,Nurse
635-40-6220,Nurse
817-48-8732,Nurse
120-06-4233,Nurse
285-68-5083,Nurse
803-83-5989,Nurse
347-34-2234,Nurse
199-75-8169,Nurse
853-23-2453,Nurse
877-22-3308,Nurse
838-78-4295,Nurse
109-28-2512,Nurse
232-11-3025,Nurse
382-03-4532,Nurse
393-65-2792,Nurse
796-12-2025,Nurse
510-95-6347,Nurse
841-35-6630,Nurse
287-21-9091,Nurse
732-94-0499,Nurse
263-10-3913,Nurse
381-20-0914,Nurse
829-49-1914,Nurse
756-01-7507,Nurse
870-72-4431,Nurse
847-38-7188,Nurse
480-63-2856,Nurse
787-56-0757,Nurse
360-39-5055,Nurse
730-50-9884,Nurse
362-58-8315,Nurse
633-44-8566,Nurse
504-35-8843,Nurse
318-68-5053,Nurse
565-80-5980,Nurse
225-32-0908,Nurse
873-51-0671,Nurse
152-08-9985,Nurse
512-91-0811,Nurse
594-34-4444,Nurse
766-85-7061,Nurse
871-39-9221,Nurse
865-92-6136,Nurse
733-01-9107,Patient
163-56-7055,Patient
189-98-2939,Patient
551-21-3069,Patient
212-62-1842,Patient
716-39-1409,Patient
704-48-3927,Patient
628-34-3388,Patient
630-74-5166,Patient
588-01-7461,Patient
861-77-0145,Patient
479-26-8945,Patient
210-67-5886,Patient
227-78-1148,Patient
645-44-1170,Patient
237-01-6122,Patient
225-98-1496,Patient
291-32-1427,Patient
659-65-8956,Patient
642-32-2990,Patient
378-24-2715,Patient
638-60-7125,Patient
659-36-1684,Patient
219-22-9386,Patient
336-78-2147,Patient
268-27-6179,Patient
668-90-8900,Patient
870-54-3162,Patient
189-08-9157,Patient
663-86-9076,Patient
549-84-7482,Patient
191-10-6171,Patient
802-70-5316,Patient
695-51-0018,Patient
590-83-4591,Patient
483-71-1164,Patient
597-78-7908,Patient
700-81-1757,Patient
354-39-5160,Patient
241-72-9525,Patient
575-30-8091,Patient
731-81-9469,Patient
280-17-4359,Patient
338-65-2210,Patient
488-25-4221,Patient
239-10-7476,Patient
458-41-1477,Patient
685-64-1609,Patient
568-90-5112,Patient
262-47-2794,Patient
238-49-0436,Patient
608-96-3517,Patient
584-86-7256,Patient
746-94-0204,Patient
214-17-6927,Patient
400-89-4171,Patient
782-95-9291,Patient
279-74-2924,Patient
307-85-2293,Patient
743-04-1105,Patient
423-57-2993,Patient
894-41-5205,Patient
275-28-0149,Patient
101-17-6199,Patient
423-80-0988,Patient
548-46-9322,Patient
505-02-0892,Patient
234-65-2137,Patient
687-47-8271,Patient
796-32-9050,Patient
105-31-1824,Patient
249-42-3782,Patient
316-55-4634,Patient
733-33-4967,Patient
608-27-6295,Patient
414-12-7047,Patient
827-26-2100,Patient
175-54-2529,Patient
139-52-2867,Patient
407-63-8975,Patient
342-65-4817,Patient
130-98-8941,Patient
434-83-9547,Patient
851-28-6367,Patient
824-88-3614,Patient
586-25-0848,Patient
895-66-0685,Patient
305-14-0245,Patient
732-04-5373,Patient
400-60-7251,Patient
593-65-1552,Patient
284-34-9626,Patient
437-58-8131,Patient
286-43-6208,Patient
641-43-2399,Patient
831-07-6050,Patient
556-86-3144,Patient
848-24-9445,Patient
856-22-8149,Patient
699-01-4164,Doctor
420-11-4919,Doctor
606-80-4905,Doctor
542-41-0513,Doctor
426-39-2418,Doctor
875-46-5808,Doctor
394-43-4238,Doctor
749-24-1565,Doctor
672-51-8681,Doctor
263-87-5680,Doctor
573-58-9734,Doctor
